(187, 524)
(403, 581)
(383, 38)
(270, 489)
(459, 276)
(768, 475)
(450, 436)
(411, 512)
(633, 465)
(574, 368)
(654, 441)
(543, 307)
(429, 14)
(522, -1)
(677, 678)
(31, 260)
(302, 237)
(351, 415)
(604, 317)
(525, 389)
(698, 325)
(428, 291)
(428, 193)
(485, 478)
(233, 599)
(550, 121)
(323, 50)
(347, 357)
(413, 492)
(508, 305)
(88, 547)
(551, 609)
(286, 522)
(503, 379)
(236, 550)
(504, 751)
(673, 316)
(394, 767)
(222, 496)
(417, 408)
(596, 532)
(573, 460)
(400, 413)
(422, 661)
(424, 334)
(139, 522)
(433, 621)
(317, 668)
(645, 218)
(324, 793)
(342, 397)
(578, 375)
(356, 666)
(326, 104)
(233, 335)
(250, 372)
(437, 312)
(316, 418)
(594, 342)
(380, 324)
(364, 405)
(447, 505)
(277, 554)
(276, 397)
(601, 403)
(482, 409)
(653, 316)
(314, 371)
(472, 534)
(414, 443)
(429, 271)
(405, 594)
(149, 433)
(556, 438)
(480, 327)
(602, 290)
(487, 247)
(557, 458)
(459, 391)
(435, 586)
(401, 369)
(497, 86)
(314, 462)
(533, 289)
(351, 275)
(184, 644)
(555, 489)
(277, 296)
(331, 547)
(382, 259)
(426, 619)
(643, 596)
(110, 619)
(581, 481)
(203, 538)
(196, 199)
(505, 480)
(487, 282)
(549, 388)
(600, 452)
(689, 404)
(354, 795)
(429, 665)
(346, 454)
(714, 288)
(303, 430)
(285, 557)
(245, 302)
(639, 261)
(399, 598)
(317, 599)
(765, 332)
(561, 245)
(245, 455)
(382, 483)
(337, 317)
(372, 440)
(367, 246)
(583, 413)
(395, 196)
(378, 683)
(454, 580)
(373, 401)
(439, 366)
(473, 556)
(559, 493)
(537, 711)
(15, 432)
(444, 352)
(317, 207)
(712, 447)
(642, 374)
(213, 391)
(-41, 355)
(195, 705)
(450, 536)
(515, 277)
(272, 266)
(172, 442)
(586, 505)
(450, 379)
(358, 480)
(284, 477)
(235, 203)
(272, 344)
(550, 483)
(389, 438)
(314, 262)
(292, 426)
(434, 462)
(117, 301)
(526, 643)
(323, 493)
(324, 279)
(162, 313)
(480, 680)
(584, 326)
(698, -74)
(485, 336)
(259, 508)
(593, 442)
(382, 269)
(366, 235)
(608, 313)
(451, 452)
(150, 531)
(374, 724)
(278, 626)
(327, 525)
(561, 319)
(507, 114)
(271, 215)
(351, 38)
(228, 431)
(636, 580)
(488, 349)
(233, 505)
(392, 338)
(168, 487)
(562, 767)
(382, 345)
(176, 307)
(521, 364)
(284, 570)
(838, 439)
(492, 637)
(466, 321)
(572, 243)
(708, 402)
(361, 313)
(204, 129)
(526, 428)
(513, 421)
(156, 578)
(270, 669)
(369, 709)
(370, 485)
(611, 291)
(336, 345)
(344, 179)
(275, 326)
(468, 642)
(682, 230)
(725, 596)
(548, 470)
(300, 341)
(642, 289)
(376, 549)
(561, 196)
(459, 528)
(606, 419)
(475, 457)
(215, 609)
(290, 327)
(766, 606)
(624, 590)
(232, 310)
(186, 283)
(263, 437)
(230, 112)
(489, 484)
(401, 327)
(361, 580)
(605, 197)
(299, 69)
(70, 430)
(283, 240)
(155, 328)
(721, 270)
(690, 474)
(393, 280)
(480, 548)
(193, 567)
(221, 426)
(75, 280)
(650, 502)
(256, 430)
(312, 167)
(149, 291)
(482, 429)
(822, 220)
(508, 138)
(330, 229)
(514, 340)
(530, 556)
(270, 458)
(-64, 425)
(125, 460)
(288, 201)
(476, 705)
(638, 319)
(501, 152)
(355, 567)
(318, 613)
(650, 795)
(652, 128)
(200, 485)
(498, 575)
(235, 597)
(376, 236)
(480, 184)
(551, 548)
(173, 346)
(227, 419)
(517, 256)
(80, 444)
(538, 375)
(300, 112)
(414, 697)
(462, 236)
(385, 612)
(324, 737)
(261, 276)
(684, 526)
(193, 316)
(175, 98)
(457, 111)
(494, 507)
(185, 593)
(520, 438)
(-3, 467)
(381, 232)
(243, 212)
(630, 392)
(200, 431)
(683, 376)
(634, 658)
(352, 251)
(72, 322)
(230, 299)
(266, 392)
(225, 644)
(126, 142)
(615, 495)
(382, 790)
(542, 197)
(505, 515)
(748, 524)
(609, 171)
(214, 377)
(157, 722)
(223, 295)
(368, 590)
(664, 273)
(735, 323)
(333, 627)
(682, 718)
(196, 379)
(473, 213)
(340, 528)
(386, 139)
(321, -36)
(657, 536)
(333, 208)
(539, 530)
(455, 93)
(118, 493)
(661, 371)
(464, 771)
(623, 360)
(248, 234)
(584, 286)
(667, 128)
(522, 241)
(406, 175)
(615, 429)
(283, 693)
(801, 440)
(743, 378)
(388, 212)
(418, 127)
(571, 646)
(463, 604)
(77, 472)
(243, 114)
(268, 94)
(495, 233)
(276, 177)
(690, 556)
(99, 594)
(711, 799)
(-58, 329)
(231, 683)
(333, 573)
(630, 551)
(380, 510)
(599, 40)
(565, 700)
(973, 393)
(134, 636)
(297, 581)
(272, -32)
(305, 682)
(613, 609)
(748, 365)
(94, 415)
(356, 611)
(582, 674)
(468, 169)
(428, 227)
(481, 6)
(594, 580)
(173, 362)
(591, 614)
(59, 554)
(164, 165)
(810, 259)
(79, 211)
(256, 19)
(541, -55)
(303, 51)
(428, 151)
(522, 162)
(258, 787)
(508, 585)
(38, 358)
(598, 275)
(165, 422)
(511, 625)
(617, 20)
(394, 73)
(382, 550)
(270, 657)
(649, 429)
(270, 814)
(617, 119)
(340, 144)
(433, 68)
(489, 545)
(801, 290)
(562, 158)
(698, 605)
(766, 178)
(360, 635)
(816, 653)
(276, 767)
(110, 290)
(182, 259)
(40, 581)
(433, 877)
(749, 447)
(145, 10)
(666, 435)
(314, 12)
(234, 214)
(122, 269)
(537, 574)
(43, 534)
(162, 255)
(598, 91)
(133, 353)
(735, 430)
(373, 156)
(461, 67)
(513, 773)
(116, 313)
(796, 539)
(20, 322)
(359, 114)
(513, 666)
(201, 276)
(-19, 509)
(216, 744)
(198, 241)
(721, 528)
(4, 339)
(46, 129)
(69, 257)
(25, 215)
(110, 389)
(253, -81)
(548, 76)
(246, 261)
(206, 184)
(692, 181)
(655, 760)
(210, 37)
(46, 286)
(703, 485)
(637, 768)
(417, 639)
(128, 402)
(294, 787)
(658, 255)
(577, -65)
(395, 76)
(729, 160)
(774, 403)
(222, 149)
(383, 111)
(101, 439)
(855, 394)
(115, 253)
(115, 234)
(400, 728)
(115, 194)
(730, 468)
(713, 741)
(660, 658)
(622, 919)
(598, 879)
(509, -139)
(83, 352)
(17, 182)
(93, 660)
(864, 309)
(-10, 669)
(425, 925)
(285, 725)
(454, 720)
(208, 82)
(173, 669)
(118, 563)
(849, 544)
(705, 638)
(772, 266)
(74, 628)
(68, 80)
(-45, 408)
(579, 133)
(531, 99)
(43, 481)
(3432, 7369)
(4220, 8221)
(4140, 7408)
(3372, 7529)
(2829, 7320)
(2143, 7994)
(4585, 7463)
(3812, 7920)
(3136, 7916)
(4282, 7980)
(3430, 7835)
(3586, 7082)
(3993, 6596)
(3442, 7423)
(5274, 7042)
(2182, 7727)
(2944, 7443)
(4138, 7818)
(3806, 7082)
(3238, 7727)
(4157, 7484)
(3984, 7765)
(4523, 7820)
(1481, 7423)
(2717, 7526)
(5806, 7713)
(3465, 7294)
(3901, 6662)
(5295, 7070)
(3789, 7236)
(3301, 7241)
(1914, 6194)
(4042, 8308)
(3646, 7343)
(3616, 6619)
(4436, 7400)
(2517, 7449)
(4149, 7837)
(4746, 7849)
(3260, 7304)
(3580, 7758)
(2713, 7459)
(3376, 7562)
(3084, 7606)
(4785, 7396)
(3510, 8258)
(4939, 6876)
(3266, 7724)
(3380, 8020)
(3275, 7039)
(4758, 8135)
(2001, 6958)
(2636, 7160)
(4458, 6573)
(3599, 7136)
(1393, 6956)
(4758, 8294)
(3484, 7203)
(4295, 7217)
(4190, 7394)
(3870, 6380)
(2702, 6865)
(2606, 7529)
(5023, 6947)
(2727, 7627)
(3623, 7892)
(4176, 7925)
(2857, 7609)
(3593, 7221)
(5655, 7241)
(2837, 8156)
(3545, 7556)
(2435, 7566)
(4335, 6387)
(3709, 7366)
(4130, 7751)
(3878, 8561)
(2220, 7449)
(2496, 6721)
(1814, 7574)
(2550, 7241)
(4968, 6118)
(3410, 7487)
(3356, 7188)
(4231, 6821)
(4134, 7363)
(2086, 6520)
(3221, 6874)
(5179, 7437)
(2019, 8090)
(3910, 7191)
(3243, 8719)
(4055, 7123)
(3198, 7084)
(4625, 7699)
(2045, 7978)
(4075, 7718)
(4220, 8663)
(3780, 8073)
(3814, 7871)
(3946, 7162)
(3243, 6501)
(3791, 7646)
(3311, 7598)
(2788, 6738)
(2832, 7814)
(3774, 6631)
(5630, 7724)
(4170, 8893)
(3918, 6770)
(3696, 7701)
(4434, 8172)
(2973, 7244)
(3363, 6796)
(3248, 8330)
(1020, 7974)
(4438, 7828)
(3150, 7549)
(1385, 7761)
(2601, 7101)
(2446, 7336)
(2929, 7097)
(3651, 7172)
(3150, 7606)
(3317, 7477)
(3062, 6339)
(3176, 7974)
(3855, 7512)
(3086, 7229)
(4887, 7201)
(4310, 7175)
(4306, 7425)
(2951, 7492)
(4443, 8204)
(2860, 8025)
(3676, 7456)
(3815, 7486)
(5454, 7975)
(4864, 7699)
(2558, 7712)
(3132, 7445)
(5198, 8016)
(4320, 7338)
